POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,Distance,Distancia_tren,Distancia_obelisco,NUMPOINTS
"1",VTA,TERRENO,-34.634866500000001,-58.523790699999999,276.000000000000000,"340000",LINIERS,"9",4986.727668044660277,502.192335231015022,7542239.397815099917352,"284"
"2",VTA,TERRENO,-34.651070300000001,-58.517776800000000,388.000000000000000,"397000",LINIERS,"9",4957.987414820730010,1564.420051365119889,7541699.175255780108273,"204"
"3",VTA,TERRENO,-34.643551700000003,-58.506647899999997,379.000000000000000,"420000",LINIERS,"9",3680.297304539869856,909.791858657279022,7543010.892716100439429,"223"
"4",VTA,TERRENO,-34.626105699999997,-58.495808199999999,478.000000000000000,"590000",VELEZ SARSFIELD,"10",2453.320706320900172,1265.860714040130006,7544912.716028139926493,"246"
"5",VTA,TERRENO,-34.636738299999998,-58.472309500000001,2353.000000000000000,"950000",FLORESTA,"10",712.446770512750959,923.810096409414996,7546048.316700659692287,"443"
"6",VTA,TERRENO,-34.629188700000000,-58.466897500000002,854.000000000000000,"2200000",FLORES NORTE,"7",302.650147797967975,162.515007871366009,7546926.394146979786456,"1076"
"7",VTA,TERRENO,-34.629659099999998,-58.459088800000004,121.000000000000000,"385000",FLORES NORTE,"7",397.233815533786014,680.207366714780051,7547492.562572560273111,"1026"
"8",VTA,TERRENO,-34.624679100000002,-58.443284400000003,630.000000000000000,"1900000",CABALLITO,"6",508.110251295184980,603.856117731541985,7549004.316212699748576,"673"
"9",VTA,TERRENO,-34.622683500000001,-58.427646099999997,392.000000000000000,"2000000",BOEDO,"5",486.946057528308984,1516.647736509680044,7550319.296179730445147,"585"
"10",VTA,TERRENO,-34.623634099999997,-58.424709200000002,191.000000000000000,"400000",BOEDO,"5",420.810657600081981,1804.165752958690064,7550484.469128860160708,"608"
"11",VTA,TERRENO,-34.651790200000001,-58.419036400000003,178.000000000000000,"125000",NUEVA POMPEYA,"4",1316.855505372009929,416.288343200680004,7549179.639535429887474,"497"
"12",VTA,TERRENO,-34.640154899999999,-58.414872099999997,356.000000000000000,"420000",NUEVA POMPEYA,"4",259.355006977937023,998.516986599767051,7550214.764540639705956,"390"
"13",VTA,TERRENO,-34.626720700000000,-58.395862299999997,196.000000000000000,"290000",SAN CRISTOBAL,"3",415.544571783909021,1452.396879057740080,7552492.270781519822776,"546"
"14",VTA,TERRENO,-34.640023499999998,-58.380201999999997,224.000000000000000,"280000",BARRACAS ESTE,"4",1380.661604086089937,1093.546702478550060,7552864.434658870100975,"235"
"15",VTA,TERRENO,-34.650479900000001,-58.470822699999999,600.000000000000000,"630000",PARQUE AVELLANEDA,"9",1157.223797569550015,2210.390275876320175,7545314.300794550217688,"212"
"16",VTA,TERRENO,-34.635467900000002,-58.529146099999998,172.000000000000000,"250000",LINIERS,"9",5481.873388610139955,456.975884664012028,7541794.046244990080595,"354"
"17",VTA,TERRENO,-34.614222900000001,-58.529118400000002,150.000000000000000,"210000",VILLA REAL,"10",5752.898926875250254,1237.340889271629976,7543105.624732229858637,"181"
"18",VTA,TERRENO,-34.618041099999999,-58.528174900000003,120.000000000000000,"165000",VILLA REAL,"10",5548.730853691339689,1652.845692547610042,7542942.207889899611473,"161"
"19",VTA,TERRENO,-34.616746300000003,-58.527742699999997,300.000000000000000,"180000",VILLA REAL,"10",5548.801483909300259,1508.136684529930108,7543054.975922070443630,"191"
"20",VTA,TERRENO,-34.645803200000003,-58.527625299999997,245.000000000000000,"295000",LINIERS,"9",5574.110991369539988,777.783384108805990,7541273.036422350443900,"208"
"21",VTA,TERRENO,-34.623105199999998,-58.527616700000003,196.000000000000000,"390000",VILLA REAL,"10",5382.997998651870148,1753.067947446590097,7542672.620701540261507,"132"
"22",VTA,TERRENO,-34.648382400000003,-58.527252900000001,238.000000000000000,"230000",LINIERS,"9",5634.548115023219907,1058.246957219580054,7541142.480181390419602,"127"
"23",VTA,TERRENO,-34.611725000000000,-58.527251999999997,279.000000000000000,"440000",VILLA DEVOTO SUR,"11",5592.325730382710390,951.084562894462010,7543401.921113849617541,"210"
"24",VTA,TERRENO,-34.648418800000002,-58.527250700000003,238.000000000000000,"238000",LINIERS,"9",5635.764452871760113,1062.256525134200047,7541140.404737840406597,"128"
"25",VTA,TERRENO,-34.651434000000002,-58.526975999999998,147.000000000000000,"199000",LINIERS,"9",5737.744197155429902,1394.681220333600095,7540975.535418969579041,"107"
"26",VTA,TERRENO,-34.630403899999997,-58.526816799999999,210.000000000000000,"285000",VERSALLES,"10",5243.058096532749914,940.500902111711980,7542283.740801200270653,"145"
