POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA
"1",VTA,TERRENO,-34.634866500000001,-58.523790699999999,276.000000000000000,"340000",LINIERS,"9"
"2",VTA,TERRENO,-34.651070300000001,-58.517776800000000,388.000000000000000,"397000",LINIERS,"9"
"3",VTA,TERRENO,-34.643551700000003,-58.506647899999997,379.000000000000000,"420000",LINIERS,"9"
"4",VTA,TERRENO,-34.626105699999997,-58.495808199999999,478.000000000000000,"590000",VELEZ SARSFIELD,"10"
"5",VTA,TERRENO,-34.636738299999998,-58.472309500000001,2353.000000000000000,"950000",FLORESTA,"10"
"6",VTA,TERRENO,-34.629188700000000,-58.466897500000002,854.000000000000000,"2200000",FLORES NORTE,"7"
"7",VTA,TERRENO,-34.629659099999998,-58.459088800000004,121.000000000000000,"385000",FLORES NORTE,"7"
"8",VTA,TERRENO,-34.624679100000002,-58.443284400000003,630.000000000000000,"1900000",CABALLITO,"6"
"9",VTA,TERRENO,-34.622683500000001,-58.427646099999997,392.000000000000000,"2000000",BOEDO,"5"
"10",VTA,TERRENO,-34.623634099999997,-58.424709200000002,191.000000000000000,"400000",BOEDO,"5"
"11",VTA,TERRENO,-34.651790200000001,-58.419036400000003,178.000000000000000,"125000",NUEVA POMPEYA,"4"
"12",VTA,TERRENO,-34.640154899999999,-58.414872099999997,356.000000000000000,"420000",NUEVA POMPEYA,"4"
"13",VTA,TERRENO,-34.626720700000000,-58.395862299999997,196.000000000000000,"290000",SAN CRISTOBAL,"3"
"14",VTA,TERRENO,-34.640023499999998,-58.380201999999997,224.000000000000000,"280000",BARRACAS ESTE,"4"
"15",VTA,TERRENO,-34.650479900000001,-58.470822699999999,600.000000000000000,"630000",PARQUE AVELLANEDA,"9"
"16",VTA,TERRENO,-34.635467900000002,-58.529146099999998,172.000000000000000,"250000",LINIERS,"9"
"17",VTA,TERRENO,-34.614222900000001,-58.529118400000002,150.000000000000000,"210000",VILLA REAL,"10"
"18",VTA,TERRENO,-34.618041099999999,-58.528174900000003,120.000000000000000,"165000",VILLA REAL,"10"
"19",VTA,TERRENO,-34.616746300000003,-58.527742699999997,300.000000000000000,"180000",VILLA REAL,"10"
"20",VTA,TERRENO,-34.645803200000003,-58.527625299999997,245.000000000000000,"295000",LINIERS,"9"
"21",VTA,TERRENO,-34.623105199999998,-58.527616700000003,196.000000000000000,"390000",VILLA REAL,"10"
