InputID,TargetID,Distance
"1",Obelisco,13497.0841349566
"2",Obelisco,13556.7554259902
"3",Obelisco,12298.2643522965
"4",Obelisco,10771.2455633276
"5",Obelisco,9099.3174251048
"6",Obelisco,8325.9832025756
"7",Obelisco,7676.40315532627
"8",Obelisco,6125.90724979077
"9",Obelisco,4728.79997884216
"10",Obelisco,4540.59579407854
"11",Obelisco,6360.17682276377
"12",Obelisco,5081.63033300178
"13",Obelisco,2886.2835188807
"14",Obelisco,4049.69378350846
"15",Obelisco,9699.97871152386
"16",Obelisco,13988.9294997725
"17",Obelisco,13584.0120485074
"18",Obelisco,13541.2787857669
"19",Obelisco,13485.6591055853
"20",Obelisco,14189.7797560814
"21",Obelisco,13568.5214848556
"22",Obelisco,14254.6767668692
"23",Obelisco,13392.0392923055
"24",Obelisco,14255.8947937189
"25",Obelisco,14352.50826791
"26",Obelisco,13649.1913263084
"27",Obelisco,13429.2293998881
"28",Obelisco,14204.5163367494
"29",Obelisco,13985.7118170235
"30",Obelisco,14348.0760657758
"31",Obelisco,14289.1869547817
"32",Obelisco,13263.7056752106
"33",Obelisco,13595.6992713217
"34",Obelisco,14151.2754613508
"35",Obelisco,13272.032531799
"36",Obelisco,13083.6533300134
"37",Obelisco,13061.6523319524
"38",Obelisco,13304.4114238804
"39",Obelisco,12981.951362828
"40",Obelisco,13301.7851314112
"41",Obelisco,13313.4143686315
"42",Obelisco,13511.24010466
"43",Obelisco,13198.0401670259
"44",Obelisco,14132.440578322
"45",Obelisco,14261.6270904382
"46",Obelisco,13140.1455184135
"47",Obelisco,12906.2343189464
"48",Obelisco,13862.4230561869
"49",Obelisco,13854.222473112
"50",Obelisco,12827.9410348102
"51",Obelisco,12993.2315557022
"52",Obelisco,12752.5533962682
"53",Obelisco,13564.0574354601
"54",Obelisco,12708.23385811
"55",Obelisco,12686.6288077219
"56",Obelisco,12702.2630400696
"57",Obelisco,12954.7715924435
"58",Obelisco,12726.204947807
"59",Obelisco,13651.9254890914
"60",Obelisco,12676.6176769698
"61",Obelisco,13347.0341496701
"62",Obelisco,13781.4365891082
"63",Obelisco,12664.362693433
"64",Obelisco,12664.5488382887
"65",Obelisco,12735.1689214409
"66",Obelisco,13425.2705674028
"67",Obelisco,12605.8626511115
"68",Obelisco,12508.2711251422
"69",Obelisco,12554.7751063614
"70",Obelisco,12489.8919089787
"71",Obelisco,13533.1558991417
"72",Obelisco,12502.0320551088
"73",Obelisco,12503.4154190946
"74",Obelisco,12503.3229633284
"75",Obelisco,12496.7376705622
"76",Obelisco,13222.118170612
"77",Obelisco,12544.0768551393
"78",Obelisco,12398.1090216308
"79",Obelisco,12395.5918268884
"80",Obelisco,13494.7696266291
"81",Obelisco,13054.8768490157
"82",Obelisco,12496.8453136248
"83",Obelisco,12421.6816599668
"84",Obelisco,12441.232374214
"85",Obelisco,12445.3598529275
"86",Obelisco,12761.9906038341
"87",Obelisco,13279.596020517
"88",Obelisco,13444.3657386735
"89",Obelisco,12447.0266368241
"90",Obelisco,12307.7915888624
"91",Obelisco,12372.1011945979
"92",Obelisco,12288.9808905288
"93",Obelisco,12830.0147954338
"94",Obelisco,12284.6648733295
"95",Obelisco,12290.6695773096
"96",Obelisco,12211.8026476533
"97",Obelisco,12174.5411490149
"98",Obelisco,12170.8353476407
"99",Obelisco,13175.5356811601
"100",Obelisco,12300.8309632039
"101",Obelisco,12170.4619719631
"102",Obelisco,12243.6201117616
"103",Obelisco,12937.712052175
"104",Obelisco,12714.5603479088
"105",Obelisco,12485.4894285526
"106",Obelisco,12169.5001232814
"107",Obelisco,12852.6557729297
"108",Obelisco,12859.047859486
"109",Obelisco,13050.7072775475
"110",Obelisco,12090.0474337239
"111",Obelisco,12676.9063846543
"112",Obelisco,12042.8275015001
"113",Obelisco,13402.9781928776
"114",Obelisco,12408.6159557723
"115",Obelisco,12551.0421639834
