poly_id,operacion,tipo,latitud,longitud,m2total,preciousd,barrio,comuna,lnprecio,lnm2total,residuos,dist_subte,dist_tren,dist_obe,count_delitos,Residuos_Ej_4,Outliers_LH
"1",VTA,TERRENO,-34.634866500000001,-58.523790699999999,276.000000000000000,"340000",LINIERS,"9",12.736700896592300,5.620400865717150,-0.045083814124562,4986.727668044660277,502.192335231015022,13497.084134956599883,"284",-0.091822811195325,"0"
"2",VTA,TERRENO,-34.651070300000001,-58.517776800000000,388.000000000000000,"397000",LINIERS,"9",12.891691559669299,5.961005339623270,-0.090065100136488,4957.987414820730010,1564.420051365119889,13556.755425990200820,"204",-0.020414151778597,"0"
"3",VTA,TERRENO,-34.643551700000003,-58.506647899999997,379.000000000000000,"420000",LINIERS,"9",12.948009990259600,5.937536205082430,-0.019967729640078,3680.297304539869856,909.791858657279022,12298.264352296500874,"223",-0.267785967751067,"0"
"4",VTA,TERRENO,-34.626105699999997,-58.495808199999999,478.000000000000000,"590000",VELEZ SARSFIELD,"10",13.287877815881901,6.169610732491460,0.131199309334198,2453.320706320900172,1265.860714040130006,10771.245563327600394,"246",0.194375080923793,"0"
"5",VTA,TERRENO,-34.636738299999998,-58.472309500000001,2353.000000000000000,"950000",FLORESTA,"10",13.764217263576700,7.763446388727360,-0.638187539367950,712.446770512750959,923.810096409414996,9099.317425104800350,"443",-0.692068743584372,"0"
"6",VTA,TERRENO,-34.629188700000000,-58.466897500000002,854.000000000000000,"2200000",FLORES NORTE,"7",14.603967918328500,6.749931193788570,0.526627887011885,302.650147797967975,162.515007871366009,8325.983202575600444,"1076",0.310933473777702,"0"
"7",VTA,TERRENO,-34.629659099999998,-58.459088800000004,121.000000000000000,"385000",FLORES NORTE,"7",12.860998613269899,4.795790545596740,-0.069047873300330,397.233815533786014,680.207366714780051,7676.403155326270280,"1026",-0.242471569556188,"0"
"8",VTA,TERRENO,-34.624679100000002,-58.443284400000003,630.000000000000000,"1900000",CABALLITO,"6",14.457364444136701,6.445719819385580,0.515786150235678,508.110251295184980,603.856117731541985,6125.907249790770038,"673",0.403791530803670,"0"
"9",VTA,TERRENO,-34.622683500000001,-58.427646099999997,392.000000000000000,"2000000",BOEDO,"5",14.508657738524199,5.971261839790460,1.185675784274870,486.946057528308984,1516.647736509680044,4728.799978842160272,"585",1.141176276303790,"0"
"10",VTA,TERRENO,-34.623634099999997,-58.424709200000002,191.000000000000000,"400000",BOEDO,"5",12.899219826090100,5.252273428046630,-0.001637567010365,420.810657600081981,1804.165752958690064,4540.595794078540166,"608",-0.049050956897222,"0"
"11",VTA,TERRENO,-34.651790200000001,-58.419036400000003,178.000000000000000,"125000",NUEVA POMPEYA,"4",11.736069016284400,5.181783550292090,-0.575889414817923,1316.855505372009929,416.288343200680004,6360.176822763770360,"497",-0.588965565712421,"0"
"12",VTA,TERRENO,-34.640154899999999,-58.414872099999997,356.000000000000000,"420000",NUEVA POMPEYA,"4",12.948009990259600,5.874930730852030,0.229098617181693,259.355006977937023,998.516986599767051,5081.630333001779945,"390",0.086053116597243,"0"
"13",VTA,TERRENO,-34.626720700000000,-58.395862299999997,196.000000000000000,"290000",SAN CRISTOBAL,"3",12.577636201962701,5.278114659230520,-0.295775601931585,415.544571783909021,1452.396879057740080,2886.283518880699830,"546",-0.253764428342034,"0"
