"poly_id","operacion","tipo","latitud","longitud","m2total","preciousd","barrio","comuna","lnprecio","lnm2total","residuos","dist_subte","dist_tren","dist_obe","count_delitos","Residuos_Ej_4"
1,"VTA","TERRENO",-34.6348665,-58.5237907,276,340000,"LINIERS",9,12.7367008965923,5.62040086571715,-0.0450838141245616,4986.72766804466,502.192335231015,13497.0841349566,284,-0.0918228111953253
2,"VTA","TERRENO",-34.6510703,-58.5177768,388,397000,"LINIERS",9,12.8916915596693,5.96100533962327,-0.0900651001364877,4957.98741482073,1564.42005136512,13556.7554259902,204,-0.0204141517785974
3,"VTA","TERRENO",-34.6435517,-58.5066479,379,420000,"LINIERS",9,12.9480099902596,5.93753620508243,-0.0199677296400776,3680.29730453987,909.791858657279,12298.2643522965,223,-0.267785967751067
4,"VTA","TERRENO",-34.6261057,-58.4958082,478,590000,"VELEZ SARSFIELD",10,13.2878778158819,6.16961073249146,0.131199309334198,2453.3207063209,1265.86071404013,10771.2455633276,246,0.194375080923793
5,"VTA","TERRENO",-34.6367383,-58.4723095,2353,950000,"FLORESTA",10,13.7642172635767,7.76344638872736,-0.63818753936795,712.446770512751,923.810096409415,9099.3174251048,443,-0.692068743584372
6,"VTA","TERRENO",-34.6291887,-58.4668975,854,2200000,"FLORES NORTE",7,14.6039679183285,6.74993119378857,0.526627887011885,302.650147797968,162.515007871366,8325.9832025756,1076,0.310933473777702
7,"VTA","TERRENO",-34.6296591,-58.4590888,121,385000,"FLORES NORTE",7,12.8609986132699,4.79579054559674,-0.0690478733003296,397.233815533786,680.20736671478,7676.40315532627,1026,-0.242471569556188
8,"VTA","TERRENO",-34.6246791,-58.4432844,630,1900000,"CABALLITO",6,14.4573644441367,6.44571981938558,0.515786150235678,508.110251295185,603.856117731542,6125.90724979077,673,0.40379153080367
9,"VTA","TERRENO",-34.6226835,-58.4276461,392,2000000,"BOEDO",5,14.5086577385242,5.97126183979046,1.18567578427487,486.946057528309,1516.64773650968,4728.79997884216,585,1.14117627630379
10,"VTA","TERRENO",-34.6236341,-58.4247092,191,400000,"BOEDO",5,12.8992198260901,5.25227342804663,-0.00163756701036524,420.810657600082,1804.16575295869,4540.59579407854,608,-0.0490509568972217
11,"VTA","TERRENO",-34.6517902,-58.4190364,178,125000,"NUEVA POMPEYA",4,11.7360690162844,5.18178355029209,-0.575889414817923,1316.85550537201,416.28834320068,6360.17682276377,497,-0.588965565712421
12,"VTA","TERRENO",-34.6401549,-58.4148721,356,420000,"NUEVA POMPEYA",4,12.9480099902596,5.87493073085203,0.229098617181693,259.355006977937,998.516986599767,5081.63033300178,390,0.0860531165972433
13,"VTA","TERRENO",-34.6267207,-58.3958623,196,290000,"SAN CRISTOBAL",3,12.5776362019627,5.27811465923052,-0.295775601931585,415.544571783909,1452.39687905774,2886.2835188807,546,-0.253764428342034
14,"VTA","TERRENO",-34.6400235,-58.380202,224,280000,"BARRACAS ESTE",4,12.5425448821514,5.41164605185504,-0.316764159584,1380.66160408609,1093.54670247855,4049.69378350846,235,-0.318747248788781
15,"VTA","TERRENO",-34.6504799,-58.4708227,600,630000,"PARQUE AVELLANEDA",9,13.3534750983677,6.39692965521615,0.111051941780325,1157.22379756955,2210.39027587632,9699.97871152386,212,0.167455839155195
16,"VTA","TERRENO",-34.6354679,-58.5291461,172,250000,"LINIERS",9,12.4292161968444,5.14749447681345,-0.0749209209153893,5481.87338861014,456.975884664012,13988.9294997725,354,-0.0502834242443177
17,"VTA","TERRENO",-34.6142229,-58.5291184,150,210000,"VILLA REAL",10,12.2548628096996,5.01063529409626,-0.0927160388571775,5752.89892687525,1237.34088927163,13584.0120485074,181,-0.0571986091424986
18,"VTA","TERRENO",-34.6180411,-58.5281749,120,165000,"VILLA REAL",10,12.0137007528827,4.78749174278205,-0.202868510355093,5548.73085369134,1652.84569254761,13541.2787857669,161,-0.162338143638422
19,"VTA","TERRENO",-34.6167463,-58.5277427,300,180000,"VILLA REAL",10,12.1007121298723,5.7037824746562,-0.65381966065993,5548.8014839093,1508.13668452993,13485.6591055853,191,-0.629163928553763
20,"VTA","TERRENO",-34.6458032,-58.5276253,245,295000,"LINIERS",9,12.594730635322,5.50125821054473,-0.117104351294294,5574.11099136954,777.783384108806,14189.7797560814,208,0.000835749006861657
21,"VTA","TERRENO",-34.6231052,-58.5276167,196,390000,"VILLA REAL",10,12.8739020181058,5.27811465923052,0.369283629301343,5382.99799865187,1753.06794744659,13568.5214848556,132,0.403188201285993
22,"VTA","TERRENO",-34.6483824,-58.5272529,238,230000,"LINIERS",9,12.3458345879053,5.47227067367148,-0.348981555178057,5634.54811502322,1058.24695721958,14254.6767668692,127,-0.171634251245128
23,"VTA","TERRENO",-34.611725,-58.527252,279,440000,"VILLA DEVOTO SUR",11,12.9945300058944,5.63121178182137,-0.138354531469513,5592.32573038271,951.084562894462,13392.0392923055,210,0.0819942036317286
24,"VTA","TERRENO",-34.6484188,-58.5272507,238,238000,"LINIERS",9,12.3800259526536,5.47227067367148,-0.314790190429805,5635.76445287176,1062.2565251342,14255.8947937189,128,-0.137120379530443
25,"VTA","TERRENO",-34.651434,-58.526976,147,199000,"LINIERS",9,12.2010601037066,4.99043258677874,-0.210864566228972,5737.74419715543,1394.6812203336,14352.50826791,107,0.0187511539996079
